pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.74.144.100: icmp_seq=1 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=2 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=3 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=4 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=5 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=6 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=7 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=8 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=9 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=10 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=11 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=12 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=13 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=14 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=15 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=16 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=17 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=18 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=19 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=20 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=21 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=22 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=23 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=24 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=25 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=26 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=27 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=28 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=29 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=30 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=31 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=32 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=33 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=34 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=35 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=36 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=37 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=38 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=39 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=40 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=41 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=42 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=43 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=44 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=45 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=46 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=47 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=48 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=49 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=50 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=51 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=52 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=53 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=54 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=55 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=56 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=57 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=58 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=59 ttl=35 time=195 ms
64 bytes from 54.74.144.100: icmp_seq=60 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=61 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=62 ttl=35 time=195 ms
64 bytes from 54.74.144.100: icmp_seq=63 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=64 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=65 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=66 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=67 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=68 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=69 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=70 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=71 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=72 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=73 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=74 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=75 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=76 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=77 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=78 ttl=34 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=79 ttl=34 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=80 ttl=34 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=81 ttl=34 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=82 ttl=34 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=83 ttl=34 time=198 ms
64 bytes from 54.74.144.100: icmp_seq=84 ttl=34 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=85 ttl=34 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=86 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=87 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=88 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=89 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=90 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=91 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=92 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=93 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=94 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=95 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=96 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=97 ttl=35 time=192 ms
64 bytes from 54.74.144.100: icmp_seq=98 ttl=35 time=196 ms
64 bytes from 54.74.144.100: icmp_seq=99 ttl=35 time=191 ms
64 bytes from 54.74.144.100: icmp_seq=100 ttl=35 time=192 ms

--- 54.74.144.100 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99126ms
rtt min/avg/max/mdev = 191.565/192.442/198.577/1.609 ms
===============================================
pinging DAFFE 4
PING 54.145.165.251 (54.145.165.251) 56(84) bytes of data.
64 bytes from 54.145.165.251: icmp_seq=1 ttl=35 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=2 ttl=35 time=234 ms
64 bytes from 54.145.165.251: icmp_seq=3 ttl=35 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=4 ttl=35 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=5 ttl=37 time=231 ms
64 bytes from 54.145.165.251: icmp_seq=6 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=7 ttl=37 time=231 ms
64 bytes from 54.145.165.251: icmp_seq=8 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=9 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=10 ttl=37 time=231 ms
64 bytes from 54.145.165.251: icmp_seq=11 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=12 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=13 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=14 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=15 ttl=37 time=237 ms
64 bytes from 54.145.165.251: icmp_seq=16 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=17 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=18 ttl=37 time=241 ms
64 bytes from 54.145.165.251: icmp_seq=19 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=20 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=21 ttl=37 time=240 ms
64 bytes from 54.145.165.251: icmp_seq=22 ttl=37 time=230 ms
64 bytes from 54.145.165.251: icmp_seq=23 ttl=37 time=230 ms
