pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.74.144.100: icmp_seq=1 ttl=45 time=0.513 ms
64 bytes from 54.74.144.100: icmp_seq=2 ttl=45 time=0.582 ms
64 bytes from 54.74.144.100: icmp_seq=3 ttl=45 time=0.536 ms
64 bytes from 54.74.144.100: icmp_seq=4 ttl=45 time=0.527 ms
64 bytes from 54.74.144.100: icmp_seq=5 ttl=45 time=0.611 ms
64 bytes from 54.74.144.100: icmp_seq=6 ttl=45 time=0.564 ms
64 bytes from 54.74.144.100: icmp_seq=7 ttl=45 time=0.550 ms
64 bytes from 54.74.144.100: icmp_seq=8 ttl=45 time=0.559 ms
64 bytes from 54.74.144.100: icmp_seq=9 ttl=45 time=0.547 ms
64 bytes from 54.74.144.100: icmp_seq=10 ttl=45 time=0.600 ms
64 bytes from 54.74.144.100: icmp_seq=11 ttl=45 time=0.560 ms
64 bytes from 54.74.144.100: icmp_seq=12 ttl=45 time=0.524 ms
64 bytes from 54.74.144.100: icmp_seq=13 ttl=45 time=0.525 ms
64 bytes from 54.74.144.100: icmp_seq=14 ttl=45 time=0.564 ms
64 bytes from 54.74.144.100: icmp_seq=15 ttl=45 time=0.573 ms
64 bytes from 54.74.144.100: icmp_seq=16 ttl=45 time=0.554 ms
64 bytes from 54.74.144.100: icmp_seq=17 ttl=45 time=0.531 ms
64 bytes from 54.74.144.100: icmp_seq=18 ttl=45 time=0.578 ms
64 bytes from 54.74.144.100: icmp_seq=19 ttl=45 time=0.549 ms
64 bytes from 54.74.144.100: icmp_seq=20 ttl=45 time=0.550 ms
64 bytes from 54.74.144.100: icmp_seq=21 ttl=45 time=0.541 ms
64 bytes from 54.74.144.100: icmp_seq=22 ttl=45 time=0.536 ms
64 bytes from 54.74.144.100: icmp_seq=23 ttl=45 time=0.550 ms
64 bytes from 54.74.144.100: icmp_seq=24 ttl=45 time=0.540 ms
64 bytes from 54.74.144.100: icmp_seq=25 ttl=45 time=0.516 ms
64 bytes from 54.74.144.100: icmp_seq=26 ttl=45 time=0.523 ms
64 bytes from 54.74.144.100: icmp_seq=27 ttl=45 time=0.528 ms
64 bytes from 54.74.144.100: icmp_seq=28 ttl=45 time=0.545 ms
64 bytes from 54.74.144.100: icmp_seq=29 ttl=45 time=0.528 ms
64 bytes from 54.74.144.100: icmp_seq=30 ttl=45 time=0.539 ms
64 bytes from 54.74.144.100: icmp_seq=31 ttl=45 time=0.529 ms
64 bytes from 54.74.144.100: icmp_seq=32 ttl=45 time=0.522 ms
64 bytes from 54.74.144.100: icmp_seq=33 ttl=45 time=0.511 ms
64 bytes from 54.74.144.100: icmp_seq=34 ttl=45 time=0.575 ms
64 bytes from 54.74.144.100: icmp_seq=35 ttl=45 time=0.544 ms
64 bytes from 54.74.144.100: icmp_seq=36 ttl=45 time=0.536 ms
64 bytes from 54.74.144.100: icmp_seq=37 ttl=45 time=0.559 ms
64 bytes from 54.74.144.100: icmp_seq=38 ttl=45 time=0.581 ms
64 bytes from 54.74.144.100: icmp_seq=39 ttl=45 time=0.591 ms
64 bytes from 54.74.144.100: icmp_seq=40 ttl=45 time=0.536 ms
