pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.74.144.100: icmp_seq=1 ttl=34 time=175 ms
64 bytes from 54.74.144.100: icmp_seq=2 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=3 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=4 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=5 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=6 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=7 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=8 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=9 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=10 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=11 ttl=34 time=169 ms
64 bytes from 54.74.144.100: icmp_seq=12 ttl=34 time=168 ms
64 bytes from 54.74.144.100: icmp_seq=13 ttl=34 time=182 ms
64 bytes from 54.74.144.100: icmp_seq=14 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=15 ttl=34 time=168 ms
64 bytes from 54.74.144.100: icmp_seq=16 ttl=34 time=167 ms
64 bytes from 54.74.144.100: icmp_seq=17 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=18 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=19 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=20 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=21 ttl=34 time=161 ms
64 bytes from 54.74.144.100: icmp_seq=22 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=23 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=24 ttl=34 time=161 ms
64 bytes from 54.74.144.100: icmp_seq=25 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=26 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=27 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=28 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=29 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=30 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=31 ttl=34 time=165 ms
64 bytes from 54.74.144.100: icmp_seq=32 ttl=34 time=161 ms
64 bytes from 54.74.144.100: icmp_seq=33 ttl=34 time=163 ms
64 bytes from 54.74.144.100: icmp_seq=34 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=35 ttl=34 time=164 ms
64 bytes from 54.74.144.100: icmp_seq=36 ttl=34 time=168 ms
64 bytes from 54.74.144.100: icmp_seq=37 ttl=34 time=164 ms
64 bytes from 54.74.144.100: icmp_seq=38 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=39 ttl=34 time=161 ms
64 bytes from 54.74.144.100: icmp_seq=40 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=41 ttl=34 time=162 ms
64 bytes from 54.74.144.100: icmp_seq=42 ttl=34 time=161 ms
64 bytes from 54.74.144.100: icmp_seq=43 ttl=34 time=168 ms
64 bytes from 54.74.144.100: icmp_seq=44 ttl=34 time=162 ms
