pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
rtt min/avg/max/mdev = 89.750/96.031/215.747/17.178 ms
===============================================
pinging DAFFE 5
PING 54.177.53.81 (54.177.53.81) 56(84) bytes of data.
64 bytes from 54.177.53.81: icmp_seq=1 ttl=45 time=161 ms
64 bytes from 54.177.53.81: icmp_seq=2 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=3 ttl=45 time=180 ms
64 bytes from 54.177.53.81: icmp_seq=4 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=5 ttl=45 time=159 ms
64 bytes from 54.177.53.81: icmp_seq=6 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=7 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=8 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=9 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=10 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=11 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=12 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=13 ttl=45 time=160 ms
64 bytes from 54.177.53.81: icmp_seq=14 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=15 ttl=45 time=163 ms
64 bytes from 54.177.53.81: icmp_seq=16 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=17 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=18 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=19 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=20 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=21 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=22 ttl=45 time=163 ms
64 bytes from 54.177.53.81: icmp_seq=23 ttl=45 time=153 ms
